"Marcel Goc" C 0 0 -1 2 12:51
"Patric Hornqvist" RW 1 1 2 4 17:21
"Chris Kunitz" LW 0 1 2 1 19:35
"Kris Letang" D 0 0 1 3 23:44
"Olli Maatta" D 0 3 2 1 15:55
"Evgeni Malkin" C 0 1 1 0 16:58
"Paul Martin" D 0 0 2 3 21:54
"Rob Scuderi" D 0 0 1 0 18:34
"Zach Sill" C 0 0 0 0 7:14
"Nick Spaling" C 0 0 -1 1 12:28
"Brandon Sutter" CRW 1 0 3 1 18:51

14 http://www.hockey-reference.com/boxscores/201410090STL.html 2014-10-09 "New York Rangers" "St. Louis Blues" 3 2
"Henrik Lundqvist" G 2 25 60:00

"Dan Boyle" D 0 0 1 2 14:01
"Derick Brassard" C 0 0 0 0 15:24
"Anthony Duclair" LW 0 0 0 0 11:12
"Jesper Fast" RW 0 0 -1 0 12:21
"Dan Girardi" D 0 0 0 2 26:18
"Tanner Glass" LW 0 0 -1 0 14:11
"Carl Hagelin" LW 0 0 0 1 14:35
"Kevin Klein" D 0 0 0 0 17:25
"Chris Kreider" C 1 1 2 2 14:43
"Ryan McDonagh" D 0 0 0 4 28:51
"J.T. Miller" C 0 0 0 2 12:09
"Dominic Moore" C 0 0 -1 2 17:21
"John Moore" D 0 0 0 1 11:52
"Rick Nash" LW 2 1 2 4 14:36
"Martin St. Louis" RW 0 2 2 1 16:37
"Marc Staal" D 0 0 1 1 20:55
"Lee Stempniak" RW 0 0 0 2 13:07
"Mats Zuccarello" LW 0 0 0 1 14:22

"Brian Elliott" G 3 25 59:10

"David Backes" C 0 1 0 3 17:58
"Patrik Berglund" C 0 0 -1 1 16:41
"Jay Bouwmeester" D 0 0 0 0 23:30
"Ian Cole" D 0 0 1 2 14:06
"Barret Jackman" D 0 0 -1 1 14:38
"Maxim Lapierre" C 0 0 0 0 7:24
"Jori Lehtera" C 0 0 -1 1 16:25
"Jordan Leopold" D 0 0 -1 0 15:05
"Joakim Lindstrom" C 0 0 -1 2 10:26
"T.J. Oshie" C 0 0 -1 0 17:45
"Steve Ott" C 0 0 0 1 14:13
"Alex Pietrangelo" D 0 1 -1 0 25:26
"Ryan Reaves" RW 0 0 0 1 7:25
"Jaden Schwartz" C 1 1 0 2 17:09
"Kevin Shattenkirk" D 0 0 0 2 22:57
"Paul Stastny" C 1 0 0 3 17:01
"Alex Steen" C 0 0 0 2 18:15
"Vladimir Tarasenko" RW 0 1 1 4 18:26

15 http://www.hockey-reference.com/boxscores/201410090TBL.html 2014-10-09 "Florida Panthers" "Tampa Bay Lightning" 2 3
"Roberto Luongo" G 3 32 60:56

"Aleksander Barkov" C 0 0 1 0 18:26
"Sean Bergenheim" LW 0 0 1 1 8:46
"Nick Bjugstad" C 0 0 0 0 15:08
